Teacher ID,Department,Dedicated Course,Current Load,Science Sections
T001,Special,Medical Career,0,0
T002,Special,Heroes Teach,0,0
T003,English,,4,0
T004,English,,4,0
T005,English,,4,0
T006,English,,4,0
T007,English,,4,0
T008,English,,4,0
T009,Math,,4,0
T010,Math,,4,0
T011,Math,,4,0
T012,Math,,4,0
T013,Math,,4,0
T014,Math,,4,0
T015,Science,,1,1
T016,Science,,1,1
T017,Science,,1,1
T018,Science,,1,1
T019,Science,,1,1
T020,Science,,1,1
T021,Science,,1,1
T022,Science,,1,1
T023,Science,,1,1
T024,Science,,1,1
T025,Science,,1,1
T026,Science,,1,1
T027,Science,,1,1
T028,Science,,1,1
T029,Science,,1,1
T030,Science,,1,1
T031,Science,,1,1
T032,Science,,1,1
T033,Science,,1,1
T034,Science,,1,1
T035,Science,,1,1
T036,Science,,1,1
T037,Science,,1,1
T038,Science,,1,1
T039,Social Studies,,4,0
T040,Social Studies,,4,0
T041,Social Studies,,4,0
T042,Social Studies,,4,0
T043,Social Studies,,4,0
T044,Social Studies,,4,0
T045,PE,,4,0
T046,PE,,4,0
T047,PE,,4,0
T048,PE,,4,0
T049,PE,,4,0
T050,General,,4,0
T051,General,,4,0
T052,General,,1,0
