Student ID,Section ID
ST001,S018
ST001,S041
ST001,S031
ST001,S039
ST001,S013
ST001,S005
ST002,S017
ST002,S041
ST002,S031
ST002,S040
ST002,S013
ST002,S005
ST003,S017
ST003,S041
ST003,S031
ST003,S039
ST003,S013
ST003,S006
ST004,S018
ST004,S041
ST004,S031
ST004,S039
ST004,S014
ST004,S001
ST005,S018
ST005,S041
ST005,S031
ST005,S039
ST005,S013
ST005,S005
ST006,S017
ST006,S041
ST006,S031
ST006,S039
ST006,S014
ST006,S004
ST007,S018
ST007,S041
ST007,S031
ST007,S039
ST007,S014
ST007,S005
ST008,S018
ST008,S041
ST008,S031
ST008,S039
ST008,S013
ST008,S006
ST009,S018
ST009,S041
ST009,S031
ST009,S039
ST009,S013
ST009,S005
ST010,S018
ST010,S041
ST010,S031
ST010,S039
ST010,S014
ST010,S006
ST011,S018
ST011,S041
ST011,S031
ST011,S039
ST011,S013
ST011,S005
ST012,S018
ST012,S041
ST012,S031
ST012,S039
ST012,S014
ST012,S005
ST013,S018
ST013,S041
ST013,S031
ST013,S039
ST013,S014
ST013,S005
ST014,S018
ST014,S041
ST014,S031
ST014,S040
ST014,S013
ST014,S008
ST015,S018
ST015,S041
ST015,S031
ST015,S039
ST015,S014
ST015,S001
ST016,S018
ST016,S041
ST016,S031
ST016,S039
ST016,S013
ST016,S005
ST017,S017
ST017,S041
ST017,S031
ST017,S039
ST017,S013
ST017,S005
ST018,S017
ST018,S041
ST018,S031
ST018,S039
ST018,S013
ST018,S005
ST019,S017
ST019,S041
ST019,S031
ST019,S039
ST019,S013
ST019,S003
ST020,S018
ST020,S041
ST020,S031
ST020,S039
ST020,S014
ST020,S005
ST021,S017
ST021,S041
ST021,S031
ST021,S039
ST021,S013
ST021,S006
ST022,S017
ST022,S041
ST022,S031
ST022,S039
ST022,S013
ST022,S005
ST023,S017
ST023,S041
ST023,S031
ST023,S039
ST023,S013
ST023,S003
ST024,S018
ST024,S041
ST024,S031
ST024,S040
ST024,S013
ST024,S008
ST025,S017
ST025,S041
ST025,S031
ST025,S039
ST025,S013
ST025,S005
ST026,S035
ST026,S046
ST026,S037
ST026,S027
ST026,S013
ST026,S005
ST027,S035
ST027,S046
ST027,S037
ST027,S027
ST027,S013
ST027,S005
ST028,S035
ST028,S046
ST028,S037
ST028,S027
ST028,S013
ST028,S005
ST029,S035
ST029,S045
ST029,S037
ST029,S027
ST029,S013
ST029,S005
ST030,S035
ST030,S046
ST030,S037
ST030,S027
ST030,S014
ST030,S001
ST031,S035
ST031,S045
ST031,S037
ST031,S027
ST031,S013
ST031,S005
ST032,S035
ST032,S046
ST032,S037
ST032,S027
ST032,S014
ST032,S005
ST033,S035
ST033,S046
ST033,S037
ST033,S027
ST033,S013
ST033,S003
ST034,S035
ST034,S045
ST034,S037
ST034,S027
ST034,S013
ST034,S005
ST035,S035
ST035,S045
ST035,S037
ST035,S027
ST035,S013
ST035,S006
ST036,S035
ST036,S046
ST036,S037
ST036,S027
ST036,S014
ST036,S006
ST037,S035
ST037,S045
ST037,S037
ST037,S027
ST037,S013
ST037,S005
ST038,S035
ST038,S046
ST038,S037
ST038,S027
ST038,S013
ST038,S005
ST039,S035
ST039,S046
ST039,S037
ST039,S027
ST039,S013
ST039,S006
ST040,S035
ST040,S045
ST040,S037
ST040,S027
ST040,S013
ST040,S006
ST041,S035
ST041,S046
ST041,S037
ST041,S027
ST041,S013
ST041,S003
ST042,S035
ST042,S045
ST042,S037
ST042,S027
ST042,S013
ST042,S001
ST043,S035
ST043,S045
ST043,S037
ST043,S027
ST043,S013
ST043,S008
ST044,S035
ST044,S046
ST044,S037
ST044,S027
ST044,S013
ST044,S001
ST045,S035
ST045,S046
ST045,S037
ST045,S027
ST045,S014
ST045,S005
ST046,S035
ST046,S046
ST046,S037
ST046,S027
ST046,S014
ST046,S001
ST047,S035
ST047,S046
ST047,S037
ST047,S027
ST047,S014
ST047,S005
ST048,S035
ST048,S046
ST048,S037
ST048,S027
ST048,S014
ST048,S001
ST049,S035
ST049,S046
ST049,S037
ST049,S027
ST049,S013
ST049,S003
ST050,S035
ST050,S046
ST050,S037
ST050,S027
ST050,S013
ST050,S003
ST051,S019
ST051,S023
ST051,S043
ST051,S029
ST051,S009
ST051,S007
ST052,S019
ST052,S023
ST052,S043
ST052,S029
ST052,S009
ST052,S008
ST053,S019
ST053,S023
ST053,S043
ST053,S030
ST053,S011
ST053,S003
ST054,S019
ST054,S023
ST054,S043
ST054,S030
ST054,S012
ST054,S006
ST055,S020
ST055,S023
ST055,S043
ST055,S029
ST055,S010
ST055,S008
ST056,S020
ST056,S023
ST056,S043
ST056,S029
ST056,S010
ST056,S008
ST057,S019
ST057,S023
ST057,S044
ST057,S030
ST057,S012
ST057,S006
ST058,S020
ST058,S023
ST058,S043
ST058,S029
ST058,S010
ST058,S007
ST059,S019
ST059,S023
ST059,S043
ST059,S030
ST059,S012
ST059,S006
ST060,S020
ST060,S023
ST060,S043
ST060,S030
ST060,S010
