Teacher ID,Section ID,Period
T001,S001,R1
T001,S002,G1
T002,S003,G2
T002,S004,R2
T015,S005,R1
T016,S006,R1
T015,S007,R3
T016,S008,G1
T013,S009,R1
T014,S010,R4
T013,S011,R2
T014,S012,R2
T013,S013,R4
T014,S014,G2
T005,S015,G1
T006,S016,R2
T003,S017,G4
T004,S018,R2
T003,S019,R4
T004,S020,G2
T007,S021,G3
T005,S023,G3
T003,S025,R3
T004,S026,R1
T011,S027,R3
T011,S029,R2
T012,S030,R3
T009,S031,G3
T010,S032,G3
T011,S033,G4
T012,S034,R4
T003,S035,R2
T007,S037,G4
T011,S039,G1
T012,S040,G2
T005,S041,R3
T009,S043,G4
T010,S044,G4
T005,S045,G2
T006,S046,G1
